Carbon (%),Manganese (%),Silicon (%),Phosphorus (%),Sulfur (%),Chromium (%),Nickel (%),Molybdenum (%),Vanadium (%),Tensile Strength (MPa)
0.4370861069626263,0.6147259790256534,0.1415969893075671,0.036908119768355924,0.03287983513134371,0.6510897283884188,0.6834312586700398,0.06745975462799936,0.15804018859210936,733.4661419137608
0.9556428757689246,1.2212316105432088,0.13644257967519996,0.04186725588765489,0.04221729317199945,0.7628099231250299,0.2551477258946496,0.1340476377040082,0.1530924506619692,1113.3206230341157
0.7587945476302645,1.784007920989894,0.36718910318236286,0.02001871595169996,0.04040643719160636,1.2963663504830525,0.8851551070193334,0.42406061229047415,0.06436312979950365,1379.452383275809
0.6387926357773329,1.544782306896254,0.13734116994732715,0.03499496398427996,0.016155996187750946,0.576006140483849,0.6518046151623174,0.3950457603522511,0.18838586073587005,1141.4442915678997
0.24041677639819287,1.6711539513644644,0.14518240414502087,0.032869839325749946,0.015969978789658956,1.3175095587370398,0.24148349520125884,0.20778921115571608,0.13527083032352294,1004.7805128746274
0.2403950683025824,1.4199317234082196,0.3157893918462873,0.043313215071530846,0.020726974709796533,0.2233882033673681,0.9661042517330861,0.21956478249839562,0.10455882817035264,944.9734487957477
0.15227525095137953,1.4768701596803493,0.20740894485768901,0.04624348241925042,0.02444298905364149,1.187517812092083,0.5665289170017885,0.29009949509911076,0.163480787524296,972.3953064573984
0.8795585311974417,1.7436326076610429,0.32184869493431345,0.010486270859095473,0.026338223256339305,1.286566686276631,0.1656086066844895,0.05010845210831055,0.08860481876024512,1292.0032341932674
0.6410035105688879,0.7244356150606162,0.07287815514753485,0.03696079676235171,0.037187888673333815,0.3545447139722743,0.6641496139735605,0.15855995121711253,0.1540264755569481,836.4562748258027
0.737265320016441,1.1320224381933388,0.22064991778568455,0.01207343196478916,0.012267217286633417,0.7024851453210805,0.3278790163115292,0.1437043138736965,0.055956681135837086,1006.4576362246213
0.1185260448662222,0.6760560510933238,0.061764760064148924,0.031954346603094236,0.011386908169042656,0.33169968452911786,0.8233241066895722,0.16271732603739356,0.1759112056413908,589.0066358689596
0.9729188669457949,1.9790356135943,0.07192862120937409,0.02150530916174713,0.025676422517756363,1.089245780591905,0.8360398662095716,0.4126576291400486,0.11722562705319779,1420.0506526895083
0.8491983767203796,1.9049008774672425,0.36725310867054384,0.02227106398088565,0.03788654768551922,0.8494868752863194,0.9810526202691957,0.17585323544589943,0.14550393715369128,1395.0066045066965
0.29110519961044856,0.36702557932646,0.09873587989115831,0.024118340138094264,0.017737413718259303,0.9894526853916493,0.5516825779220533,0.13618459492256668,0.08318567297100256,614.5982297920344
0.26364247048639056,1.4994777932766703,0.23634723879632602,0.0348516979619844,0.03566017925025007,0.37508175373869557,0.5094611917549634,0.2769185573568642,0.1515610568987672,936.6671882269004
0.2650640588680905,1.872922139606632,0.19388346091024733,0.02336199862675077,0.02039312551761198,0.39644420687338733,0.7781280449018325,0.43954026636772936,0.1658360413839915,1080.5682216003258
0.373818018663584,0.6069780867164669,0.17157016419059495,0.03930796202361122,0.045443444352540656,0.15809625571386893,0.2192235907077339,0.15860736672687495,0.12098197803265982,639.4221977250103
